Codigo,Producto,Precio Costo,Precio,Precio Mayoreo,Inventario,Inv. Minimo,Departamento
7501295600126,Leche Santa Clara,$0.00,$19.00,$0.00,0,0,- Sin Departamento -
7501055909599,Leche Vainilla,$0.00,$8.00,$0.00,0,0,Alpura
7501001600105,Lechera Nestle 397g,$14.50,$17.00,$17.00,14,0,Nestle
7501059278868,Lechera Sirve Facil,$0.00,$29.00,$0.00,5,0,- Sin Departamento -
7501059211209,Lecherita Nestle 100g,$6.00,$7.00,$7.00,41,0,Tienda
75002084,Lechita Alpura  Fresa 250ml,$6.00,$8.50,$8.50,4,0,Alpura
7501295600638,Lechita Capuccino,$0.00,$7.50,$0.00,0,0,- Sin Departamento -
7501295600614,Lechita Chocolate,$0.00,$7.50,$0.00,0,0,- Sin Departamento -
LENTEJA,Lenteja,$16.00,$20.50,$0.00,N/A,0,Tienda
543,Lenteja 1k,$0.00,$20.00,$0.00,N/A,0,Tienda
567,Lenteja 250g,$0.00,$5.00,$0.00,N/A,0,Tienda
550,Lenteja 500g,$0.00,$10.00,$0.00,N/A,0,Tienda
7501064173202,Leon Cerveza,$0.00,$33.00,$0.00,3,0,Corona
758104001354,Levite Bonafont Limon 500ml,$5.50,$7.00,$0.00,4,0,Agua
758104003907,Levite Fresa,$0.00,$10.00,$0.00,0,0,Tienda
758104002245,Levite Fresa 1.5 L,$12.50,$15.00,$0.00,3,0,Agua
758104002238,Levite Fresa 500ml,$6.00,$7.50,$0.00,7,0,Agua
758104001477,Levite Jamaica 1.5 L,$12.50,$15.00,$0.00,7,0,Tienda
758104003914,Levite Limon,$0.00,$10.00,$0.00,0,0,Tienda
758104001460,Levite Limon 1.5l,$12.50,$15.00,$0.00,1,0,Agua
758104005642,Levite Limon/Menta 1.5l,$0.00,$15.00,$0.00,1,0,Agua
758104005154,Levite Mandarina,$0.00,$10.00,$0.00,0,0,Tienda
758104005260,Levite Mango,$0.00,$10.00,$0.00,0,0,Tienda
758104003556,Levite Piña/Coco 1.5L,$0.00,$15.00,$0.00,3,0,Refresco
7501032396466,Licuado,$0.00,$7.50,$0.00,2,0,Danone
7501032396473,Licuado Fresa-Platano,$0.00,$7.50,$0.00,1,0,Danone
735257001509,Lima,$0.00,$9.50,$0.00,0,0,Tienda
7501064194344,Lime A Rita,$0.00,$12.00,$0.00,0,0,vino
LIMON,Limon,$32.00,$35.00,$0.00,N/A,0,Tienda
574,Limon 1k,$8.00,$10.50,$0.00,N/A,0,Verdura
598,Limon 250g,$2.00,$3.00,$0.00,N/A,0,Verdura
581,Limon 500g,$4.00,$5.00,$0.00,N/A,0,Verdura
7501102280985,Limonero,$13.00,$16.00,$0.00,0,0,Tienda
7501841000455,Limpiahornos Mony 470g,$0.00,$8.00,$0.00,28,0,Tienda
7501030465874,Little Bite,$0.00,$10.00,$0.00,2,0,Bimbo
7501030469827,Little Bites 69g,$0.00,$10.00,$0.00,0,0,Bimbo
7501030496335,Lonchibon  Cuerno,$0.00,$12.00,$0.00,0,0,Bimbo
7501000127344,Lords C/8,$8.50,$10.00,$0.00,0,0,Marinela
7421001410064,Love Love Crema,$26.00,$31.00,$31.00,0,0,Tienda
7502226813622,Lucas Chamoy,$4.00,$5.00,$0.00,10,0,Dulces
7502226815022,Lucas Mucas 24g,$0.00,$5.00,$0.00,0,0,Tienda
7502226812335,Lucas Sandia,$4.00,$5.00,$0.00,13,0,Dulces
7502226812991,Lucas Tamarindo,$4.00,$5.00,$0.00,10,0,Dulces
4056704,M&m Minis Tubo,$0.00,$9.50,$0.00,0,0,Dulces
7506174500450,M-M,$7.50,$10.00,$10.00,4,0,Dulces
7506174500467,M-M Choco,$7.50,$10.00,$10.00,0,0,Dulces
MANDARINAS,MANDARINAS,$10.00,$12.00,$0.00,0,0,Verdura
MAZ,MAZAPANCITO,$1.00,$1.00,$1.00,0,0,Dulces
7501030477488,Madalenas,$0.00,$10.00,$0.00,2,0,Tienda
7506195175972,Maestro Limpio 500g,$11.00,$14.00,$0.00,15,0,Detergentes
7501000134465,Magnas Lara 200g,$10.00,$14.00,$0.00,0,0,Marinela
7501130921522,Magnum Almendras,$0.00,$23.00,$0.00,0,0,Tienda
7506306413368,Magnum Almendras,$0.00,$25.00,$0.00,3,0,Holanda
7506306413375,Magnum Clasica,$0.00,$24.00,$0.00,1,0,Holanda
7506306413405,Magnum Frambuesa,$0.00,$25.00,$0.00,0,0,Holanda
604,Maiz Palomero,$0.00,$24.00,$0.00,N/A,0,Verdura
MAIZ PALOMERO,Maiz Palomero,$16.00,$24.00,$0.00,N/A,0,Tienda
628,Maiz Palomero 260g,$0.00,$6.00,$0.00,N/A,0,Verdura
611,Maiz Palomero 500g,$0.00,$12.00,$0.00,N/A,0,Verdura
7501005110389,Maizena 160g,$8.00,$10.00,$10.00,4,0,Tienda
7501005110426,Maizena 425 Gms,$18.00,$23.50,$23.50,0,0,Tienda
7506306307001,Maizena Chocolate,$5.00,$6.00,$0.00,0,0,Tienda
7506306306998,Maizena Fresa,$5.00,$6.00,$6.00,0,0,Tienda
7501005110242,Maizena Natural 95g,$6.00,$7.50,$7.50,3,0,Tienda
7501005107297,Maizena Sobre Cajeta,$4.00,$5.00,$5.00,1,0,Tienda
7501005107013,Maizena Sobre Chocolate,$4.50,$5.00,$5.00,22,0,Tienda
7501005106801,Maizena Sobre Fresa,$0.00,$6.00,$0.00,4,0,Tienda
7501005107150,Maizena Sobre Nuez,$4.00,$5.00,$5.00,16,0,Tienda
7501005106979,Maizena Sobre Vainilla,$0.00,$6.00,$0.00,18,0,Tienda
75029388,Malboro Fresh,$42.00,$48.00,$0.00,3,0,Tienda
75046798,Malboro Gold,$0.00,$45.00,$0.00,3,0,Tienda
75044916,Malboro Kreten Mint,$42.00,$46.00,$0.00,0,0,Tienda
75001339,Malboro Rojo 114,$0.00,$35.00,$0.00,0,0,Tienda
75002107,Malteada Alpura Choco125,$6.00,$7.50,$7.50,2,0,Alpura
7501030418412,Malteada Negrito De,$7.00,$9.00,$0.00,6,0,Bimbo
7501000651375,Mamut 48g,$4.00,$5.00,$0.00,0,0,Gamesa
7501000666720,Mamutm Flipy,$0.00,$6.00,$0.00,0,0,Gamesa
7503000987287,Mango,$0.50,$1.00,$1.00,0,0,Tienda
MANGO,Mango,$25.00,$25.00,$0.00,N/A,0,Verdura
7502223774025,Manteca Inca 1 Kg,$0.00,$39.00,$0.00,1,0,Tienda
7501030469551,Mantecadas,$0.00,$10.00,$0.00,0,0,Bimbo
7501000112401,Mantecadas Bimbo Vainilla,$10.00,$12.00,$0.00,3,0,Bimbo
7501030419389,Mantecadas CNuez 123 G,$11.50,$14.00,$0.00,1,0,Tienda
7501030475514,Mantecadas Nuez,$0.00,$16.00,$0.00,0,0,Bimbo
7501030475521,Mantecadas Sabor Vainilla 1875g,$0.00,$16.00,$0.00,0,0,Bimbo
7501032600839,Mantequilla,$0.00,$13.00,$0.00,0,0,- Sin Departamento -
7501032600686,Mantequilla Iberia 9,$0.00,$8.00,$0.00,10,0,Tienda
MANZANA,Manzana,$30.00,$32.00,$0.00,N/A,0,Verdura
1274,Manzana 1k,$0.00,$26.00,$0.00,N/A,0,Verdura
1298,Manzana 250g,$0.00,$6.50,$0.00,N/A,0,Verdura
1281,Manzana 500g,$0.00,$13.00,$0.00,N/A,0,Verdura
7501055304820,Manzanita 3L,$19.00,$23.00,$0.00,1,0,Refresco
7501479300033,Manzanita Deliciosa,$0.00,$17.00,$0.00,0,0,Refresco
7501479300057,Manzanita Deliciosa,$0.00,$9.00,$0.00,0,0,Refresco
7501479300088,Manzanita Deliciosa 3L,$19.00,$23.00,$0.00,1,0,Refresco
7501055312603,Manzanitas Deliciosa 600ml,$0.00,$9.00,$0.00,4,0,Tienda
7501000641482,Maravillas Gamesa 100g,$0.00,$10.00,$0.00,1,0,Tienda
75030728,Marboro Velvet Fusion,$0.00,$48.00,$0.00,5,0,Tienda
7501393200518,Mariachisimo Cacahuate Español,$8.00,$10.00,$0.00,7,0,Tienda
7501393200792,Mariachisimo Rikirueda,$6.50,$8.00,$0.00,0,0,Cariocas
7501000658329,Marias Azucar150,$7.00,$10.00,$0.00,3,0,Gamesa
7501000664382,Marias Doradas 290g,$13.00,$19.00,$0.00,2,0,Gamesa
7501000628384,Marias Doradas 85g,$0.00,$8.00,$0.00,1,0,Tienda
7501000658923,Marias Gamesa 170g,$7.00,$10.00,$0.00,6,0,Gamesa
7501000135301,Marias Lara 170g,$7.00,$9.00,$0.00,0,0,Marinela
75014551,Marlboro Lights Blanco,$42.00,$48.00,$0.00,7,0,Tienda
75050450,Marlboro Ruby,$0.00,$48.00,$0.00,5,0,Tienda
7501199412931,Mas Color,$0.00,$17.00,$0.00,0,0,- Sin Departamento -
7501199413006,Mas Color,$13.00,$17.00,$0.00,0,0,- Sin Departamento -
7501077400050,Maseca,$8.50,$12.00,$12.00,10,0,Tienda
7501003305831,Mayonesa McCormick 1.4Kg,$69.50,$83.50,$83.50,0,0,Tienda
7501003340115,Mayonesa Mccormick 1,$8.00,$9.50,$9.50,13,0,Tienda
7501003340122,Mayonesa Mccormick 1,$12.00,$15.00,$15.00,13,0,Tienda
7501003340139,Mayonesa Mccormick 390g,$21.50,$26.00,$26.00,10,0,Tienda
MAZAPAN,Mazapan,$1.00,$2.00,$2.00,8,0,Tienda
717557060103,Mazapan Almendra,$2.00,$3.00,$3.00,29,0,Dulces
724869011006,Mazapan Chocolate,$0.00,$5.00,$0.00,4,0,Dulces
724869001380,Mazapan Gigante,$3.00,$4.00,$0.00,15,0,Dulces
724869100106,Mazapan Grande,$0.00,$2.00,$0.00,15,0,Tienda
717557060202,Mazapan Nuez,$2.00,$3.00,$3.00,27,0,Dulces
7501001600426,Media Crema Nestle 225g,$0.00,$12.00,$0.00,5,0,Tienda
7501000111503,Medias Noches Bimbo,$17.00,$21.00,$0.00,1,0,Bimbo
7501003336422,Mermelada De Piña270g,$0.00,$18.50,$0.00,19,0,Tienda
7501003336125,Mermelada Fresa Mc270 Gm,$12.50,$15.00,$15.00,16,0,Tienda
7501005110679,Mi Arroz Blanco,$0.00,$3.50,$0.00,13,0,Tienda
7501005110617,Mi Arroz Rojo,$0.00,$3.50,$0.00,5,0,Tienda
7501005110655,Miarroz Sobre Blanco,$0.00,$16.00,$0.00,0,0,Tienda
7501119500366,Microdin Gotero,$0.00,$17.00,$0.00,14,0,Tienda
MIEL,Miel,$0.00,$24.00,$0.00,1,0,Tienda
7506174500214,Miky Way,$8.00,$11.00,$11.00,7,0,Dulces
7501030468103,Mini Barritas,$0.00,$20.00,$0.00,0,0,Marinela
7501130934669,Mini Choco,$0.00,$7.00,$0.00,17,0,Tienda
724869044714,Mini Drums 18g,$1.00,$1.50,$0.00,0,0,- Sin Departamento -
7501000630363,Mini Mamut,$1.00,$1.00,$0.00,1,0,Gamesa
7501000674541,Mini Marias 70g,$0.00,$10.00,$0.00,1,0,Gamesa
7501000364039,Mini Runers,$0.00,$4.00,$0.00,0,0,Barcel
7501030448242,Mini Takis,$0.00,$4.00,$0.00,0,0,Barcel
7501030473879,Minibarritaz,$0.00,$17.00,$0.00,0,0,Marinela
724869001861,Minimalvabon,$0.00,$2.00,$0.00,4,0,- Sin Departamento -
75027278,Modelo Especial,$0.00,$12.00,$0.00,4,0,Tienda
7501064191886,Modelo Especial G,$0.00,$15.00,$0.00,0,0,Refresco
7501064196935,Modelo Negra Lata,$0.00,$16.00,$0.00,0,0,vino
7503011960026,Moka,$5.00,$7.00,$6.50,5,0,Tienda
70847003656,Monster 473 Ml,$21.00,$27.00,$27.00,18,0,vino
7501130901050,Mordisko,$0.00,$13.00,$0.00,5,0,Holanda
7501003335012,Mostaza,$7.00,$9.00,$0.00,0,0,- Sin Departamento -
7501003335104,Mostaza McCormick,$17.00,$22.00,$22.00,0,0,Tienda
7501032908188,Mr Musculo,$29.00,$37.50,$37.50,0,0,Detergentes
7501032908348,Mr Musculo Crema,$0.00,$35.00,$0.00,1,0,- Sin Departamento -
7501032908164,Mr Musculo Vidrios,$38.00,$49.50,$49.50,0,0,Detergentes
7501032908157,Mr Musculo Vidrios 750ml,$0.00,$40.00,$0.00,7,0,Tienda
7501032908478,Mr Musculo Windex,$29.00,$38.00,$38.00,0,0,Tienda
7502226814995,Muecas,$0.00,$5.00,$0.00,0,0,Tienda
7502226815084,Muecas,$0.00,$5.00,$0.00,0,0,Tienda
725181363019,Muecas Cereza 25g,$4.00,$5.00,$0.00,9,0,Dulces
725181068013,Muecas Chamoy 25g,$4.00,$5.00,$0.00,7,0,Dulces
725181203018,Muecas Mango 25g,$4.00,$5.00,$0.00,10,0,Dulces
706460750973,Muecas Pepino 25g,$4.00,$5.00,$0.00,10,0,Dulces
75054014,Mui-Bon Mini,$0.00,$2.00,$0.00,3,0,Dulces
75053260,Mui-bon,$0.00,$3.00,$0.00,5,0,Dulces
75048846,MuiBon Chocolate,$2.00,$3.00,$3.00,0,0,Tienda
7501000300730,Multigrano Linaza,$24.00,$29.00,$0.00,0,0,Bimbo
7501030424345,Multigrano Nuez,$5.00,$8.00,$0.00,5,0,Bimbo
7501055339976,Mundet Lata 355ml,$0.00,$7.00,$0.00,1,0,- Sin Departamento -
7501055340002,Mundet Sidral 2L,$16.00,$18.00,$0.00,0,0,Refresco
7501055340422,Mundet Sidral 3L,$0.00,$22.00,$0.00,0,0,Refresco
7501030469667,Nacimiento,$0.00,$38.00,$0.00,0,0,Bimbo
75002244,Napolitano 60g,$6.00,$10.00,$0.00,1,0,Marinela
7501055351237,Naranjada,$0.00,$9.00,$0.00,0,0,Refresco
75034009,Natilla Vainilla,$3.00,$4.00,$0.00,3,0,Danone
7500435000123,Naturella Con Manzanilla,$0.00,$17.00,$0.00,0,0,Tienda
7501001157296,Naturella Moderado C10,$0.00,$17.00,$16.00,8,0,Tienda
7506339394719,Naturella Nocturna,$0.00,$19.00,$0.00,29,0,Tienda
7501000112784,Negrito Bimbo,$6.00,$8.00,$0.00,7,0,Bimbo
7501000312771,Negrito CFigura Star War,$7.50,$10.00,$0.00,1,0,Bimbo
7501026902376,Neolux 15w,$23.00,$30.00,$28.00,1,0,Tienda
7501026902499,Neolux 23 W,$30.50,$40.00,$0.00,1,0,Tienda
7501000912612,Nescafe,$0.00,$17.00,$0.00,10,0,Nestle
7501059237100,Nescafe 12 Tazas,$0.00,$14.00,$0.00,0,0,- Sin Departamento -
7501058620101,Nescafe 120g,$44.00,$50.00,$0.00,0,0,Nestle
7501058610942,Nescafe 170g,$0.00,$71.00,$0.00,1,0,Nestle
7501000912803,Nescafe 45g,$0.00,$22.00,$0.00,0,0,Nestle
7501000912568,Nescafe 5g,$0.00,$5.00,$0.00,0,0,Nestle
7501059297135,Nescafe Capuccino,$0.00,$7.50,$0.00,0,0,Nestle
7501059292390,Nescafe Clsico De 50G,$5.00,$10.00,$8.00,4,0,Nestle
7501059224827,Nescafe De 200Gr,$64.00,$83.00,$83.00,1,0,Tienda
7501059274334,Nescafe Decaf 175g,$0.00,$70.00,$0.00,1,0,Tienda
7501059285415,Nescafe Decaf Fras48g,$24.00,$32.50,$32.00,0,0,Nestle
7501058616647,Nescafe Dulci Crema,$0.00,$4.00,$0.00,0,0,Tienda
7501059285354,Nescafe Frasco Clas 95g,$37.00,$48.00,$48.00,1,0,Tienda
7501059285347,Nescafe Frasco Clas48g,$17.50,$23.00,$23.00,3,0,Tienda
7501000911783,Nescafe Median,$0.00,$10.00,$0.00,0,0,Nestle
7501059292536,Nescafe Mokaccino,$8.00,$7.00,$0.00,7,0,Nestle
7501059292529,Nescafe S Cappuccin,$5.00,$9.00,$0.00,12,0,Nestle
7501059294875,Nescafe S Decaf 10g,$7.00,$8.00,$8.00,24,0,Tienda
7501000911790,Nescafe Sobre,$0.00,$11.00,$0.00,22,0,Nestle
7501059292543,Nescafe Vainilla,$0.00,$9.00,$0.00,7,0,Nestle
7501059284784,Nesquik,$0.00,$40.00,$0.00,0,0,Tienda
7501059235212,Nesquik Sobresito,$0.00,$3.00,$0.00,9,0,Tienda
744607840804,New Mix,$11.00,$14.50,$13.00,25,0,vino
744607588805,New Mix Sangrita,$10.00,$14.00,$13.00,20,0,vino
7501030409854,Nito Duo,$8.00,$10.00,$0.00,3,0,Bimbo
42187363,Nivea,$0.00,$31.00,$0.00,0,0,Tienda
NOPAL,Nopal,$0.00,$2.00,$0.00,N/A,0,Verdura
75024673,Nucita,$0.00,$2.00,$0.00,0,0,- Sin Departamento -
75049102,Nucita,$1.00,$2.00,$0.00,0,0,- Sin Departamento -
75024703,Nucita Trisabor,$0.00,$2.00,$0.00,4,0,Tienda
789742895050,Nutella,$46.00,$60.00,$0.00,5,0,Tienda
7501020544398,Nutri Deslactosada,$13.50,$16.00,$0.00,11,0,Leche
7501020540666,Nutri Leche  1L,$12.00,$15.00,$13.50,21,0,Leche
7502217040556,Nutri Leche 1l,$12.00,$14.00,$0.00,0,0,Tienda
7501032395902,Oikos Coco,$7.00,$9.00,$0.00,5,0,Danone
7501032395988,Oikos Frutos Verdes,$0.00,$9.00,$0.00,0,0,Danone
7501032396824,Oikos Nuez,$0.00,$9.00,$0.00,0,0,Danone
7501000260614,Ondas Picante,$0.00,$8.00,$0.00,0,0,Barcel
7501198350456,Orange 600ml,$0.00,$9.00,$0.00,0,0,Refresco
7502226813301,Orbit Fresa,$3.50,$6.00,$6.00,0,0,Dulces
2204309,Orbit Fresa,$1.00,$2.00,$2.00,N/A,0,Dulces
7502226814292,Orbit Fresa,$0.00,$6.00,$0.00,0,0,Dulces
75041731,Orbit Menta,$0.00,$2.00,$0.00,0,0,Dulces
7502226811567,Orbit Menta,$0.00,$6.00,$0.00,0,0,Dulces
7502226811598,Orbit Menta,$0.00,$6.00,$0.00,0,0,Dulces
7502226811628,Orbit Rosa,$0.00,$7.00,$0.00,0,0,Danone
7501130903245,Oreo,$0.00,$34.50,$0.00,0,0,Holanda
4050300106892,Osram 13w,$0.00,$35.00,$35.00,0,0,Tienda
PLATO POZOLERO,PLATO POZOLERO,$0.00,$10.00,$0.00,27,0,Tienda
7501943434660,Paal Kleenbebe Gran,$0.00,$150.00,$0.00,1,0,Tienda
7501943434684,Paal Kleenbebe Jumb,$0.00,$150.00,$0.00,2,0,Tienda
7501011142541,Paketaxo,$7.00,$10.00,$0.00,12,0,Sabritas
7501011135024,Paketaxo 170g,$16.00,$23.00,$0.00,0,0,Sabritas
7501011148963,Paketaxo 68g,$7.00,$10.00,$0.00,4,0,Sabritas
7501011112438,Paketaxo Botanero 65g,$0.00,$10.00,$0.00,0,0,- Sin Departamento -
7501011142565,Paketaxo Pasumecha,$0.00,$10.00,$0.00,0,0,Sabritas
7501011144460,Paketaxo Pasumecha 70g,$7.00,$10.00,$0.00,0,0,Sabritas
7501011114708,Paketaxo Queso 220g,$0.00,$32.00,$0.00,0,0,Sabritas
7501011155008,Paketaxo Quexo,$0.00,$35.00,$0.00,0,0,Sabritas
7501011114623,Paketaxo Quexo,$0.00,$10.00,$0.00,4,0,Sabritas
PAL GATO,Pal Gato,$18.00,$22.00,$0.00,0,0,Tienda
PAL,Pal Perro,$15.00,$19.50,$18.00,N/A,0,Tienda
7501130900411,Paleta Chemisse,$0.00,$11.00,$0.00,2,0,Holanda
7506306412705,Paleta Herseys,$0.00,$9.00,$0.00,0,0,Holanda
7506306231955,Paleta Magnum Manzana Canela,$0.00,$24.00,$24.00,0,0,Holanda
75038489,Paleta Manita,$0.00,$2.00,$0.00,16,0,Tienda
757528015954,Paleta Manita 1,$0.00,$1.00,$0.00,0,0,Dulces
7506306413016,Paleta Pelon,$0.00,$10.00,$0.00,16,0,Holanda
719886250033,Paleta Pelon Chamoy,$4.00,$5.00,$0.00,24,0,Dulces
754279000147,Paleta Pollo,$0.00,$1.50,$0.00,35,0,Tienda
PALETA SANDIA,Paleta Sandia,$0.00,$1.50,$0.00,10,0,Tienda
7501130934065,Paleta Solero Coco,$0.00,$15.00,$0.00,13,0,Holanda
7501130934072,Paleta Solero Fresa,$0.00,$14.00,$0.00,0,0,Holanda
7506306400122,Paleta Solero Frutas Rojas,$0.00,$13.00,$0.00,0,0,- Sin Departamento -
7506306413054,Paleta Solero Frutos Rojos,$0.00,$17.00,$0.00,0,0,Holanda
7501130935512,Paleta Solero Limon,$0.00,$10.00,$0.00,3,0,Holanda
75038441,Paleta Tarrito,$0.00,$1.50,$0.00,N/A,0,- Sin Departamento -
724869002738,Palillin,$0.00,$2.00,$0.00,1,0,Dulces
7501281200026,Palillo Natural Pop,$9.00,$11.00,$11.00,0,0,Tienda
